"","GageID","COMID","lon","lat"
"16","10258500",22593537,-116.535835266113,33.7497978210449
"32","11063510",22557744,-117.46696472168,34.2552528381348
"39","10263500",22684930,-117.838989257812,34.4188079833984
"45","11113000",17574345,-118.926971435547,34.4469146728516
"47","11113500",17573647,-119.080772399902,34.4043617248535
"54","11136800",17633130,-120.230194091797,35.0209350585938
"55","11137900",17632398,-120.370666503906,35.0780830383301
"56","11140000",17625349,-120.303573608398,34.8915214538574
"60","11132500",17609017,-120.411682128906,34.5921669006348
"61","11138500",17625379,-120.166015625,34.8411178588867
"64","11124500",17611425,-119.911399841309,34.5943641662598
"65","11111500",17567911,-119.261085510254,34.5705947875977
"69","10251300",20247268,-116.229248046875,35.8473663330078
"71","11189500",14961121,-118.173210144043,35.7367362976074
"73","11253310",14882615,-120.427726745605,36.3952941894531
"82","11152000",8205291,-121.318984985352,36.279712677002
"87","11143000",8189809,-121.773338317871,36.2456817626953
"106","11176400",2806807,-121.675689697266,37.5562629699707
"110","11157500",17663805,-121.295875549316,36.7644958496094
"127","11266500",21609641,-119.668502807617,37.7167434692383
"129","10296500",946050152,-119.450843811035,38.5137596130371
"130","10296000",10744424,-119.449699401855,38.3815727233887
"131","11264500",21609533,-119.558853149414,37.7364234924316
"133","10308200",8922715,-119.767387390137,38.7118606567383
"134","11276500",17081559,-119.802833557129,37.9313507080078
"162","11468000",2665613,-123.669418334961,39.1716957092285
"163","11468500",2665525,-123.736999511719,39.4279937744141
"172","11451100",8005975,-122.62003326416,39.1657524108887
"193","11355500",7952754,-121.426834106445,40.7227210998535
"194","11383500",8020924,-121.89616394043,40.0201148986816
"206","11526500",8244332,-123.130523681641,40.7762870788574
"207","11480390",8320019,-123.335655212402,40.2849349975586
"209","11528700",8232392,-123.49674987793,40.6527633666992
"212","11478500",2705477,-123.894760131836,40.4826965332031
"216","11469000",2544433,-124.285858154297,40.315242767334
"217","11532500",22226812,-124.079948425293,41.7923126220703
"219","11481200",8315847,-124.076904296875,41.0100936889648
"220","11482500",8315607,-124.068016052246,41.2868957519531
"224","11521500",4440524,-123.384346008301,41.8421669006348
"225","11522500",8261865,-123.483673095703,41.3778419494629
"231","11523200",8242324,-122.706932067871,41.1078109741211
