"","Month","Min","Avg","Max","Perc5","Perc25","x7Q10","x7Q2"
"1","January",1.412586669,871.414556515727,12545.44707,25.77970671,238.223177325,54.9270506967105,472.870434066102
"2","February",2.118880003,814.711091565317,10464.36847,181.632895365,336.225056075,1413.7074604708,6725.35062636063
"3","March",117.6714124,974.989716298522,14974.84599,231.740728795,505.23884385,304.797126122902,715.323426921968
"4","April",76.02953456,729.806045004194,6364.615239,227.51694748,424.088682575,268.398577237198,625.37590305287
"5","May",35.99153117,522.07937630422,4407.44698,73.5185146135,218.870004275,122.695789710533,406.311995298109
"6","June",10.93283224,214.867818391403,1418.25173,27.7271634365,53.5201131375,32.751048945577,104.739996097296
"7","July",3.502037783,43.7430282348132,432.0896618,7.136505567,14.0118297475,8.87329357393799,23.8931146268508
"8","August",1.059440002,9.34806463510753,91.30312792,2.12329433635,3.884613339,2.6826047383996,6.52642463239957
"9","September",0.706293334,4.8823548579625,277.955856,1.059440002,1.762054725,1.1532823637719,2.54411861753206
"10","October",0.353146667,33.2739203469194,3731.009254,0.706293334,1.059440002,0.684935115070607,2.18590052824621
"11","November",0.353146667,70.8901997986478,5722.977173,0.706293334,2.383740004,1.15706152392749,7.08523282904333
"12","December",1.059440002,630.215560954314,13469.79375,3.540295339,26.13285337,8.7858710373553,196.459925023465
